0.005,0.05,0.005,0.005,0.005,0.005,0.005,0.0098426,0.005,0.005,0.005,0.005
0.079213854,0.082012821,0.102943882,0.1,0.1,0.099946,0.051442,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.013907,0.060977,0.069708,0.1,0.090807928,0.08264557,0.005
0.079213854,0.082012821,0.102943882,0.09077,0.041528,0.032981,0.0091218,0.005,0.005,0.005,0.005,0.005
0.079213854,0.082012821,0.102943882,0.0098237,0.1,0.057741,0.085975,0.034075,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.07193,0.041243,0.057941,0.1,0.090807928,0.08264557,0.080344828
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.1,0.090807928,0.08264557,0.080344828
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.026871,0.053865,0.079626,0.062941176,0.083705128,0.135041398
0.079213854,0.082012821,0.102943882,0.1,0.017649,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.1,0.1,0.1,0.090807928,0.08264557,0.080344828
0.079213854,0.082012821,0.102943882,0.1,0.1,0.1,0.063979,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.079213854,0.082012821,0.102943882,0.1,0.1,0.1,0.06104,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.041841,0.080482,0.005,0.005,0.005,0.05240613
0.043713579,0.003205128,0.004599816,0.040124,0.1,0.1,0.063214,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.054158,0.090807928,0.08264557,0.080344828
0.079213854,0.070335349,0.061517317,0.1,0.081008,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.079213854,0.070335349,0.061517317,0.1,0.046889,0.011341,0.005,0.005,0.005,0.005,0.005,0.005
0.079213854,0.070335349,0.061517317,0.069283,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.048642,0.06506,0.033809,0.1,0.005,0.005,0.005,0.005
0.079213854,0.082012821,0.005,0.1,0.1,0.1,0.1,0.1,0.0074038,0.005,0.005,0.005
0.079213854,0.082012821,0.102943882,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.087299,0.1,0.1,0.1,0.090807928,0.08264557,0.080344828
0.005,0.005,0.005,0.005,0.005,0.048204,0.089585,0.1,0.071362,0.090807928,0.08264557,0.080344828
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.079283,0.03659,0.005,0.021044,0.005,0.020537075,0.08264557,0.080344828
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.1,0.090807928,0.08264557,0.080344828
0.005,0.005,0.005,0.005,0.005,0.005,0.0059017,0.093042,0.097451,0.090807928,0.08264557,0.080344828
